Date,Year,Month,measure_name,measure_value,Pivot Field Names,Region ID,Region,State
2/1/2018,2018,2,CutRaw,7600,2018-02-CutRaw,102001,United States,
2/1/2018,2018,2,DaysPending,52,2018-02-DaysPending,102001,United States,
2/1/2018,2018,2,HomeValue,225746.6143,2018-02-HomeValue,102001,United States,
3/1/2018,2018,3,CutRaw,8900,2018-03-CutRaw,102001,United States,
3/1/2018,2018,3,DaysPending,48,2018-03-DaysPending,102001,United States,
3/1/2018,2018,3,HomeValue,227155.649,2018-03-HomeValue,102001,United States,
4/1/2018,2018,4,CutRaw,9100,2018-04-CutRaw,102001,United States,
4/1/2018,2018,4,DaysPending,44,2018-04-DaysPending,102001,United States,
4/1/2018,2018,4,HomeValue,228438.6294,2018-04-HomeValue,102001,United States,
5/1/2018,2018,5,CutRaw,9900,2018-05-CutRaw,102001,United States,
5/1/2018,2018,5,DaysPending,43,2018-05-DaysPending,102001,United States,
5/1/2018,2018,5,HomeValue,229684.9549,2018-05-HomeValue,102001,United States,
6/1/2018,2018,6,CutRaw,9900,2018-06-CutRaw,102001,United States,
6/1/2018,2018,6,DaysPending,43,2018-06-DaysPending,102001,United States,
6/1/2018,2018,6,HomeValue,230589.3395,2018-06-HomeValue,102001,United States,
7/1/2018,2018,7,CutRaw,9500,2018-07-CutRaw,102001,United States,
7/1/2018,2018,7,DaysPending,46,2018-07-DaysPending,102001,United States,
7/1/2018,2018,7,HomeValue,231734.9548,2018-07-HomeValue,102001,United States,
8/1/2018,2018,8,CutRaw,9000,2018-08-CutRaw,102001,United States,
8/1/2018,2018,8,DaysPending,50,2018-08-DaysPending,102001,United States,
8/1/2018,2018,8,HomeValue,232833.5677,2018-08-HomeValue,102001,United States,
9/1/2018,2018,9,CutRaw,9000,2018-09-CutRaw,102001,United States,
9/1/2018,2018,9,DaysPending,55,2018-09-DaysPending,102001,United States,
9/1/2018,2018,9,HomeValue,233945.3321,2018-09-HomeValue,102001,United States,
10/1/2018,2018,10,CutRaw,9000,2018-10-CutRaw,102001,United States,
10/1/2018,2018,10,DaysPending,58,2018-10-DaysPending,102001,United States,
10/1/2018,2018,10,HomeValue,234709.8131,2018-10-HomeValue,102001,United States,
11/1/2018,2018,11,CutRaw,7400,2018-11-CutRaw,102001,United States,
11/1/2018,2018,11,DaysPending,66,2018-11-DaysPending,102001,United States,
11/1/2018,2018,11,HomeValue,235478.1594,2018-11-HomeValue,102001,United States,
12/1/2018,2018,12,CutRaw,6300,2018-12-CutRaw,102001,United States,
12/1/2018,2018,12,DaysPending,73,2018-12-DaysPending,102001,United States,
12/1/2018,2018,12,HomeValue,236299.2886,2018-12-HomeValue,102001,United States,
1/1/2019,2019,1,CutRaw,7012,2019-01-CutRaw,102001,United States,
1/1/2019,2019,1,DaysPending,76,2019-01-DaysPending,102001,United States,
1/1/2019,2019,1,HomeValue,237289.7715,2019-01-HomeValue,102001,United States,
2/1/2019,2019,2,CutRaw,7300,2019-02-CutRaw,102001,United States,
2/1/2019,2019,2,DaysPending,71,2019-02-DaysPending,102001,United States,
2/1/2019,2019,2,HomeValue,238439.3201,2019-02-HomeValue,102001,United States,
3/1/2019,2019,3,CutRaw,8500,2019-03-CutRaw,102001,United States,
3/1/2019,2019,3,DaysPending,62,2019-03-DaysPending,102001,United States,
3/1/2019,2019,3,HomeValue,239654.026,2019-03-HomeValue,102001,United States,
4/1/2019,2019,4,CutRaw,9100,2019-04-CutRaw,102001,United States,
4/1/2019,2019,4,DaysPending,56,2019-04-DaysPending,102001,United States,
4/1/2019,2019,4,HomeValue,240737.4215,2019-04-HomeValue,102001,United States,
5/1/2019,2019,5,CutRaw,9999,2019-05-CutRaw,102001,United States,
5/1/2019,2019,5,DaysPending,52,2019-05-DaysPending,102001,United States,
5/1/2019,2019,5,HomeValue,241545.124,2019-05-HomeValue,102001,United States,
6/1/2019,2019,6,CutRaw,9999,2019-06-CutRaw,102001,United States,
6/1/2019,2019,6,DaysPending,51,2019-06-DaysPending,102001,United States,
6/1/2019,2019,6,HomeValue,242254.9022,2019-06-HomeValue,102001,United States,
7/1/2019,2019,7,CutRaw,9500,2019-07-CutRaw,102001,United States,
7/1/2019,2019,7,DaysPending,54,2019-07-DaysPending,102001,United States,
7/1/2019,2019,7,HomeValue,242908.3878,2019-07-HomeValue,102001,United States,
8/1/2019,2019,8,CutRaw,9000,2019-08-CutRaw,102001,United States,
8/1/2019,2019,8,DaysPending,57,2019-08-DaysPending,102001,United States,
8/1/2019,2019,8,HomeValue,243626.6523,2019-08-HomeValue,102001,United States,
9/1/2019,2019,9,CutRaw,9000,2019-09-CutRaw,102001,United States,
9/1/2019,2019,9,DaysPending,59,2019-09-DaysPending,102001,United States,
9/1/2019,2019,9,HomeValue,244259.3097,2019-09-HomeValue,102001,United States,
10/1/2019,2019,10,CutRaw,8000,2019-10-CutRaw,102001,United States,
10/1/2019,2019,10,DaysPending,61,2019-10-DaysPending,102001,United States,
10/1/2019,2019,10,HomeValue,245140.5068,2019-10-HomeValue,102001,United States,
11/1/2019,2019,11,CutRaw,7000,2019-11-CutRaw,102001,United States,
11/1/2019,2019,11,DaysPending,65,2019-11-DaysPending,102001,United States,
11/1/2019,2019,11,HomeValue,246339.7501,2019-11-HomeValue,102001,United States,
12/1/2019,2019,12,CutRaw,6000,2019-12-CutRaw,102001,United States,
12/1/2019,2019,12,DaysPending,75,2019-12-DaysPending,102001,United States,
12/1/2019,2019,12,HomeValue,247749.9046,2019-12-HomeValue,102001,United States,
1/1/2020,2020,1,CutRaw,7000,2020-01-CutRaw,102001,United States,
1/1/2020,2020,1,DaysPending,75,2020-01-DaysPending,102001,United States,
1/1/2020,2020,1,HomeValue,249302.6336,2020-01-HomeValue,102001,United States,
2/1/2020,2020,2,CutRaw,9100,2020-02-CutRaw,102001,United States,
2/1/2020,2020,2,DaysPending,66,2020-02-DaysPending,102001,United States,
2/1/2020,2020,2,HomeValue,250820.0698,2020-02-HomeValue,102001,United States,
3/1/2020,2020,3,CutRaw,9100,2020-03-CutRaw,102001,United States,
3/1/2020,2020,3,DaysPending,54,2020-03-DaysPending,102001,United States,
3/1/2020,2020,3,HomeValue,252398.6734,2020-03-HomeValue,102001,United States,
4/1/2020,2020,4,CutRaw,7500,2020-04-CutRaw,102001,United States,
4/1/2020,2020,4,DaysPending,54,2020-04-DaysPending,102001,United States,
4/1/2020,2020,4,HomeValue,253750.3549,2020-04-HomeValue,102001,United States,
5/1/2020,2020,5,CutRaw,9000,2020-05-CutRaw,102001,United States,
5/1/2020,2020,5,DaysPending,54,2020-05-DaysPending,102001,United States,
5/1/2020,2020,5,HomeValue,254511.1931,2020-05-HomeValue,102001,United States,
6/1/2020,2020,6,CutRaw,9901,2020-06-CutRaw,102001,United States,
6/1/2020,2020,6,DaysPending,53,2020-06-DaysPending,102001,United States,
6/1/2020,2020,6,HomeValue,254939.517,2020-06-HomeValue,102001,United States,
7/1/2020,2020,7,CutRaw,10000,2020-07-CutRaw,102001,United States,
7/1/2020,2020,7,DaysPending,50,2020-07-DaysPending,102001,United States,
7/1/2020,2020,7,HomeValue,255626.5357,2020-07-HomeValue,102001,United States,
8/1/2020,2020,8,CutRaw,10000,2020-08-CutRaw,102001,United States,
8/1/2020,2020,8,DaysPending,46,2020-08-DaysPending,102001,United States,
8/1/2020,2020,8,HomeValue,257272.9445,2020-08-HomeValue,102001,United States,
9/1/2020,2020,9,CutRaw,10000,2020-09-CutRaw,102001,United States,
9/1/2020,2020,9,DaysPending,46,2020-09-DaysPending,102001,United States,
9/1/2020,2020,9,HomeValue,260100.6552,2020-09-HomeValue,102001,United States,
10/1/2020,2020,10,CutRaw,10000,2020-10-CutRaw,102001,United States,
10/1/2020,2020,10,DaysPending,40,2020-10-DaysPending,102001,United States,
10/1/2020,2020,10,HomeValue,263554.7103,2020-10-HomeValue,102001,United States,
11/1/2020,2020,11,CutRaw,10000,2020-11-CutRaw,102001,United States,
11/1/2020,2020,11,DaysPending,41,2020-11-DaysPending,102001,United States,
11/1/2020,2020,11,HomeValue,267461.1221,2020-11-HomeValue,102001,United States,
12/1/2020,2020,12,CutRaw,9900,2020-12-CutRaw,102001,United States,
12/1/2020,2020,12,DaysPending,47,2020-12-DaysPending,102001,United States,
12/1/2020,2020,12,HomeValue,271268.4009,2020-12-HomeValue,102001,United States,
1/1/2021,2021,1,CutRaw,10000,2021-01-CutRaw,102001,United States,
1/1/2021,2021,1,DaysPending,51,2021-01-DaysPending,102001,United States,
1/1/2021,2021,1,HomeValue,274930.1264,2021-01-HomeValue,102001,United States,
2/1/2021,2021,2,CutRaw,10000,2021-02-CutRaw,102001,United States,
2/1/2021,2021,2,DaysPending,42,2021-02-DaysPending,102001,United States,
2/1/2021,2021,2,HomeValue,278673.1829,2021-02-HomeValue,102001,United States,
3/1/2021,2021,3,CutRaw,10000,2021-03-CutRaw,102001,United States,
3/1/2021,2021,3,DaysPending,33,2021-03-DaysPending,102001,United States,
3/1/2021,2021,3,HomeValue,282580.2239,2021-03-HomeValue,102001,United States,
4/1/2021,2021,4,CutRaw,10000,2021-04-CutRaw,102001,United States,
4/1/2021,2021,4,DaysPending,27,2021-04-DaysPending,102001,United States,
4/1/2021,2021,4,HomeValue,286853.2762,2021-04-HomeValue,102001,United States,
5/1/2021,2021,5,CutRaw,10500,2021-05-CutRaw,102001,United States,
5/1/2021,2021,5,DaysPending,22,2021-05-DaysPending,102001,United States,
5/1/2021,2021,5,HomeValue,291593.6237,2021-05-HomeValue,102001,United States,
6/1/2021,2021,6,CutRaw,10800,2021-06-CutRaw,102001,United States,
6/1/2021,2021,6,DaysPending,21,2021-06-DaysPending,102001,United States,
6/1/2021,2021,6,HomeValue,296691.7404,2021-06-HomeValue,102001,United States,
7/1/2021,2021,7,CutRaw,10100,2021-07-CutRaw,102001,United States,
7/1/2021,2021,7,DaysPending,22,2021-07-DaysPending,102001,United States,
7/1/2021,2021,7,HomeValue,301267.8692,2021-07-HomeValue,102001,United States,
8/1/2021,2021,8,CutRaw,10000,2021-08-CutRaw,102001,United States,
8/1/2021,2021,8,DaysPending,23,2021-08-DaysPending,102001,United States,
8/1/2021,2021,8,HomeValue,304519.8735,2021-08-HomeValue,102001,United States,
9/1/2021,2021,9,CutRaw,10000,2021-09-CutRaw,102001,United States,
9/1/2021,2021,9,DaysPending,26,2021-09-DaysPending,102001,United States,
9/1/2021,2021,9,HomeValue,306504.695,2021-09-HomeValue,102001,United States,
10/1/2021,2021,10,CutRaw,10000,2021-10-CutRaw,102001,United States,
10/1/2021,2021,10,DaysPending,28,2021-10-DaysPending,102001,United States,
10/1/2021,2021,10,HomeValue,308450.0586,2021-10-HomeValue,102001,United States,
11/1/2021,2021,11,CutRaw,10000,2021-11-CutRaw,102001,United States,
11/1/2021,2021,11,DaysPending,30,2021-11-DaysPending,102001,United States,
11/1/2021,2021,11,HomeValue,311087.3341,2021-11-HomeValue,102001,United States,
12/1/2021,2021,12,CutRaw,10000,2021-12-CutRaw,102001,United States,
12/1/2021,2021,12,DaysPending,34,2021-12-DaysPending,102001,United States,
12/1/2021,2021,12,HomeValue,314337.5995,2021-12-HomeValue,102001,United States,
1/1/2022,2022,1,CutRaw,10000,2022-01-CutRaw,102001,United States,
1/1/2022,2022,1,DaysPending,35,2022-01-DaysPending,102001,United States,
1/1/2022,2022,1,HomeValue,318809.2174,2022-01-HomeValue,102001,United States,
2/1/2022,2022,2,CutRaw,10000,2022-02-CutRaw,102001,United States,
2/1/2022,2022,2,DaysPending,29,2022-02-DaysPending,102001,United States,
2/1/2022,2022,2,HomeValue,324164.859,2022-02-HomeValue,102001,United States,
3/1/2022,2022,3,CutRaw,10500,2022-03-CutRaw,102001,United States,
3/1/2022,2022,3,DaysPending,23,2022-03-DaysPending,102001,United States,
3/1/2022,2022,3,HomeValue,330461.6933,2022-03-HomeValue,102001,United States,
